Country,Localite,Category,Value,Date
Guinea,Gueckedou,Cases,227,06/18/14
Guinea,Gueckedou,Deaths,173,06/18/14
Guinea,Kissidougou,Cases,8,06/18/14
Guinea,Kissidougou,Deaths,5,06/18/14
Guinea,Kouroussa,Cases,1,06/18/14
Guinea,Kouroussa,Deaths,1,06/18/14
Guinea,Macenta,Cases,41,06/18/14
Guinea,Macenta,Deaths,28,06/18/14
Guinea,National,Cases,390,06/18/14
Guinea,National,Confirmed cases,258,06/18/14
Guinea,National,Deaths,267,06/18/14
Guinea,Telimele,Cases,26,06/18/14
Guinea,Telimele,Deaths,10,06/18/14
Liberia,Lofa County,Cases,28,06/19/14
Liberia,Lofa County,Deaths,14,06/19/14
Liberia,Margibi County,Cases,2,06/19/14
Liberia,Margibi County,Deaths,2,06/19/14
Liberia,Montserrado County,Cases,9,06/19/14
Liberia,Montserrado County,Deaths,9,06/19/14
Liberia,National,Cases,41,06/19/14
Liberia,National,Confirmed cases,24,06/19/14
Liberia,National,Deaths,25,06/19/14
Liberia,Nimba County,Cases,2,06/19/14
Liberia,Nimba County,Deaths,0,06/19/14
Sierra Leone,Kailahun,Cases,128,06/19/14
Sierra Leone,Kailahun,Deaths,55,06/19/14
Sierra Leone,Kambia,Cases,1,06/19/14
Sierra Leone,Kambia,Deaths,0,06/19/14
Sierra Leone,Kenema,Cases,4,06/19/14
Sierra Leone,Kenema,Deaths,1,06/19/14
Sierra Leone,National,Cases,136,06/19/14
Sierra Leone,National,Confirmed cases,103,06/19/14
Sierra Leone,National,Deaths,58,06/19/14
Sierra Leone,Port Loko,Cases,2,06/19/14
Sierra Leone,Port Loko,Deaths,1,06/19/14
Sierra Leone,Western Area,Cases,1,06/19/14
Sierra Leone,Western Area,Deaths,1,06/19/14
Guinea,Boffa,Cases,21,06/20/14
Guinea,Boffa,Deaths,12,06/20/14
Guinea,Conakry,Cases,65,06/20/14
Guinea,Conakry,Deaths,33,06/20/14
